"rule_id","adjustment_id","loe_pre","loe_final"
1,1,"LoE1a","LoE1a"
2,2,"LoE1a","LoE1b"
3,3,"LoE1a","LoE2a"
4,4,"LoE1a","LoE2b"
5,5,"LoE1a","LoE3a"
6,6,"LoE1a","LoE3b"
7,7,"LoE1a","LoE4"
8,1,"LoE1b","LoE1b"
9,2,"LoE1b","LoE2a"
10,3,"LoE1b","LoE2b"
11,4,"LoE1b","LoE3a"
12,5,"LoE1b","LoE3b"
13,6,"LoE1b","LoE4"
14,7,"LoE1b","LoE4"
15,1,"LoE2a","LoE2a"
16,2,"LoE2a","LoE2b"
17,3,"LoE2a","LoE3a"
18,4,"LoE2a","LoE3b"
19,5,"LoE2a","LoE4"
20,6,"LoE2a","LoE4"
21,7,"LoE2a","LoE4"
22,1,"LoE2b","LoE2b"
23,2,"LoE2b","LoE3a"
24,3,"LoE2b","LoE3b"
25,4,"LoE2b","LoE4"
26,5,"LoE2b","LoE4"
27,6,"LoE2b","LoE4"
28,7,"LoE2b","LoE4"
29,1,"LoE3a","LoE3a"
30,2,"LoE3a","LoE3b"
31,3,"LoE3a","LoE4"
32,4,"LoE3a","LoE4"
33,5,"LoE3a","LoE4"
34,6,"LoE3a","LoE4"
35,7,"LoE3a","LoE4"
36,1,"LoE3b","LoE3b"
37,2,"LoE3b","LoE4"
38,3,"LoE3b","LoE4"
39,4,"LoE3b","LoE4"
40,5,"LoE3b","LoE4"
41,6,"LoE3b","LoE4"
42,7,"LoE3b","LoE4"
43,1,"LoE3c","LoE3c"
44,2,"LoE3c","LoE4"
45,3,"LoE3c","LoE4"
46,4,"LoE3c","LoE4"
47,5,"LoE3c","LoE4"
48,6,"LoE3c","LoE4"
49,7,"LoE3c","LoE4"
50,1,"LoE4","LoE4"
51,2,"LoE4","LoE4"
52,3,"LoE4","LoE4"
53,4,"LoE4","LoE4"
54,5,"LoE4","LoE4"
55,6,"LoE4","LoE4"
56,7,"LoE4","LoE4"
57,8,"LoE1a","LoE1a"
58,8,"LoE1b","LoE1b"
59,8,"LoE2a","LoE2a"
60,8,"LoE2b","LoE2b"
61,8,"LoE3a","LoE3a"
62,8,"LoE3b","LoE3b"
63,8,"LoE3c","LoE3c"
64,8,"LoE4","LoE4"
